2018-09-20 14:51:53.6179 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1efdc5d7' started. 

2018-09-20 14:51:53.6339 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e003e261' started. 

2018-09-20 14:51:53.7759 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3acf6631' started. 

2018-09-20 14:51:53.7989 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #376a00fd' started. 

2018-09-20 14:51:53.7989 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7db981df' started. 

2018-09-20 14:51:53.8169 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8699c1a6' started. 

2018-09-20 14:51:53.8239 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e5f1252d' started. 

2018-09-20 14:51:53.8479 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bfe6ed1c' started. 

2018-09-20 14:51:53.8519 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #54f4bc6b' started. 

2018-09-20 14:52:37.9354 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ce731819' started. 

2018-09-20 14:52:37.9534 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b9ff54d3' started. 

2018-09-20 14:52:37.9534 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #49bea0a7' started. 

2018-09-20 14:52:37.9534 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e886d754' started. 

2018-09-20 14:52:37.9764 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b312c1c4' started. 

2018-09-20 14:52:37.9854 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #074d5d17' started. 

2018-09-20 14:52:37.9854 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6260e5bd' started. 

